date,product,units,unit_price,revenue,region,category,transaction_id
2026-02-28,Linen Blend Casual Shirt,4,999.0,3996.0,Mumbai,,#1345
2026-02-28,Pique Polo T-Shirt,7,599.0,4193.0,Chennai,,#1348
2026-02-28,Printed A-Line Kurti,6,799.0,4794.0,Chennai,,#1348
2026-02-28,Rayon Crop Top,4,399.0,1596.0,Chennai,,#1348
2026-02-28,Straight Fit Denim Jeans,8,1499.0,11992.0,Chennai,,#1348
2026-02-28,Linen Blend Casual Shirt,4,999.0,3996.0,Delhi,,#1349
2026-02-28,Oversized Cotton Tee,10,349.0,3490.0,Delhi,,#1349
2026-02-28,Printed A-Line Kurti,9,799.0,7191.0,Delhi,,#1349
2026-02-28,Rayon Crop Top,3,399.0,1197.0,Delhi,,#1349
2026-02-28,Straight Fit Denim Jeans,7,1499.0,10493.0,Delhi,,#1349
2026-02-28,Linen Blend Casual Shirt,4,999.0,3996.0,Mumbai,,#1350
2026-02-28,Oversized Cotton Tee,13,349.0,4537.0,Mumbai,,#1350
2026-02-28,Pique Polo T-Shirt,12,599.0,7188.0,Mumbai,,#1350
2026-02-28,Printed A-Line Kurti,9,799.0,7191.0,Mumbai,,#1350
2026-02-28,Rayon Crop Top,7,399.0,2793.0,Mumbai,,#1350
2026-02-28,Straight Fit Denim Jeans,6,1499.0,8994.0,Mumbai,,#1350
2026-02-28,Oversized Cotton Tee,3,349.0,1047.0,Chennai,,#1348
2026-02-28,Linen Blend Casual Shirt,1,999.0,999.0,Chennai,,#1348
2026-02-28,Pique Polo T-Shirt,6,599.0,3594.0,Delhi,,#1349
2026-02-28,Rayon Crop Top,13,399.0,5187.0,Bengaluru,,#1347
2026-02-28,Straight Fit Denim Jeans,8,1499.0,11992.0,Bengaluru,,#1347
2026-02-28,Pique Polo T-Shirt,12,599.0,7188.0,Mumbai,,#1345
2026-02-28,Printed A-Line Kurti,9,799.0,7191.0,Mumbai,,#1345
2026-02-28,Rayon Crop Top,7,399.0,2793.0,Mumbai,,#1345
2026-02-28,Straight Fit Denim Jeans,6,1499.0,8994.0,Mumbai,,#1345
2026-02-28,Oversized Cotton Tee,13,349.0,4537.0,Mumbai,,#1345
2026-02-28,Linen Blend Casual Shirt,5,999.0,4995.0,Bengaluru,,#1347
2026-02-28,Oversized Cotton Tee,8,349.0,2792.0,Bengaluru,,#1347
